,0
1,0.3465669205192433
2,0.34650493867936577
3,0.34644526785910956
4,0.3436845144383564
5,0.3383558957621308
6,0.3338056371859533
7,0.32980839520237154
8,0.320625873945382
9,0.32895195383844233
10,0.33175664316313686
11,0.3233604742124379
12,0.32927793811481065
13,0.3271485610911478
14,0.32928364828860684
15,0.32204811742189104
16,0.3166141089610724
17,0.30983096522210357
18,0.32116862580603345
19,0.3128153679561561
20,0.3049289972889817
21,0.31276550985377993
22,0.3121266950258682
23,0.30352094257572276
24,0.30954434632000455
25,0.2979072180851991
26,0.3019640629050275
32,0.29482512433849695
64,0.2852410861353217
128,0.2551349342700677
256,0.2493998476396451
