,0
28,0.2231342036850568
128,0.10926893694391551
54,0.21291005748809935
30,0.24630087629540465
5,0.346556900084809
16,0.3335515249456187
9,0.3456750688982686
38,0.21693210200424723
33,0.265934006986988
3,0.3465727874410083
13,0.3375033227136708
11,0.34186067790813357
256,0.08822022538081001
18,0.2738667543069685
8,0.34620153049239205
39,0.22933218461558996
43,0.20917940036900332
23,0.2363487552628652
35,0.23322846175429535
15,0.2997856588737344
25,0.2398033083212782
34,0.24995611741193816
6,0.3464188605187323
24,0.2717380558672842
36,0.2704210788920469
19,0.27432666377149734
45,0.2078700852757651
20,0.29130294427831493
32,0.24267447721345123
7,0.3464713021100224
26,0.25590999132830555
51,0.21583627937959152
52,0.2209781859652653
44,0.22401663250073506
48,0.18840855798065714
40,0.22568233669266027
2,0.3465725841724483
47,0.21832205340967856
1,0.3465732514444735
37,0.2351392815598311
41,0.24488995051883958
21,0.27458481047640226
42,0.21519455169088172
29,0.23641144881776596
53,0.20141523063708347
46,0.21832822082194822
10,0.3461380778247985
14,0.28256002701881056
31,0.23601292091516465
4,0.3465578339838874
12,0.31255578236243353
22,0.2598497813167132
17,0.2728660393815763
27,0.26100091585608576
49,0.21415988961445165
50,0.19000627141488727
64,0.19520239890795343
