,0
28,skip
128,skip
54,skip
30,skip
5,skip
16,skip
9,skip
38,skip
33,skip
3,skip
13,skip
11,skip
256,skip
18,skip
8,skip
39,skip
43,skip
23,skip
35,skip
15,skip
25,skip
34,skip
6,skip
24,skip
36,skip
19,skip
45,skip
20,skip
32,skip
7,skip
26,skip
51,skip
52,skip
44,skip
48,skip
40,skip
2,skip
47,skip
1,skip
37,skip
41,skip
21,skip
42,skip
29,skip
53,skip
46,skip
10,skip
14,skip
31,skip
4,skip
12,skip
22,skip
17,skip
27,skip
49,skip
50,skip
64,skip
