,0
1,0.34636214318974984
2,0.3455265417044891
3,0.3426525486656793
4,0.32734948108848416
5,0.3250761908544513
6,0.2658049354428218
7,0.1732239613181132
8,0.05526234680997214
9,0.10510923743430728
10,0.05187617967529942
11,0.04866893156088212
12,0.08361706700412583
13,0.01855822110615205
14,0.013830133327283696
15,0.013718485530865533
16,0.012837697852208422
17,0.013988788522888958
18,0.00956988459473578
19,0.012874810023533287
20,0.010539830556443471
21,0.009659703932561329
22,0.005806817896303519
23,0.013448673980976045
24,0.005737020498653454
25,0.010909427694266461
26,0.010147813031774781
32,0.0063972377125375915
64,0.005360297144329722
128,0.004932413113605169
256,0.0021151255543300517
