,0
1,0.3427873659741474
2,0.3323776105104074
3,0.25852743976147885
4,0.21314867017138314
5,0.19402271560773668
6,0.21077930107985005
7,0.07730322304829959
8,0.0787648225240868
9,0.02938673811336779
10,0.019356772552804005
11,0.028286929816994263
12,0.029970590736274814
13,0.023720760756332022
14,0.020672415662125805
15,0.019863332031273443
16,0.020787971536889542
17,0.018895244144517643
18,0.015681293487871565
19,0.07047330529323596
32,0.009301324498465808
64,0.006605192726786667
128,0.0012898980111395184
256,0.0006200902241190754
