,0
1,0.00023553010626739415
2,0.0011732770062968397
3,0.018352215850336282
4,0.07012907695352769
5,0.08820014838010698
6,0.045087197764104754
7,0.1593179637459181
8,0.15741308504476983
9,0.22818388917082483
10,0.24725564723063345
11,0.24450673082832422
12,0.2277211556952781
13,0.2425027028286
14,0.24473503766357046
15,0.23421574033932221
16,0.24934047975941506
17,0.24734032510382475
18,0.25871499447278384
19,0.1627064868588578
32,0.25995558403613356
64,0.2601966373140109
128,0.26071091115654166
256,0.26076798377605176
