,0
1,2.0960620578660305e-08
2,3.0499681477042165e-07
3,4.195898971780531e-07
4,3.835810695853727e-05
5,0.00011944840624433319
6,0.0005047350282272902
7,0.0012545091198887326
8,0.0007087628471038994
9,0.0006246469124189921
10,0.000421242260807942
11,0.000662594958528901
12,0.0008613316603645121
13,0.0008313935581365918
14,0.002046013587604649
15,0.0008472911785325883
16,0.0008810312680700133
17,0.001013376071125566
18,0.0007891643525544753
19,0.001081547708716619
20,0.0009260795367274915
21,0.0010952393593660814
22,0.0010537756415997974
23,0.0010340905001774655
24,0.0010424852606485228
25,0.0010802042023167963
26,0.0011038297058949945
27,0.0009723924368007094
32,0.0012700247326728111
64,0.0012930719349679843
128,0.001969977522546479
256,0.0020177629658726386
