,0
1,33.844157719593554
2,31.007281361992902
3,28.71680532817042
4,23.536826811654397
5,21.281783080025836
6,20.391938169696623
7,19.763891199794447
8,17.73007531787247
9,16.56992943624996
10,16.722504700683178
11,15.573870007250141
12,15.630023272940566
13,14.441811039251457
14,14.649748676403405
15,14.658516111859596
16,12.704969538080574
17,13.118080154912779
18,13.347903631220346
19,11.884452259723341
20,11.774000265876175
21,13.560462994280382
22,11.731003131753662
23,11.357465885137701
24,11.909988245953356
25,11.08964580049206
26,10.955978880811205
27,11.245649877798975
32,10.507232043326798
64,9.233521178641567
128,7.6971483220809205
256,6.8713740415214195
