,0
1,33.55619797860882
2,27.644797290462755
3,26.142126556874576
4,23.013121450829733
5,21.712165231059767
6,18.63394423087729
7,17.403572690468742
8,14.674691333171594
9,13.32189319350346
10,13.332775034796311
11,11.347789051258596
12,7.9810230604260175
13,8.838173890863066
14,5.7908086486135355
15,6.809614809308671
16,8.273255333813765
17,5.491994821020515
18,5.21618872575205
19,5.332683173229562
20,6.1964292025902425
21,5.039988821728327
22,4.967868406035405
23,3.8824950433750662
24,5.155924892352631
25,3.871963277827602
26,4.194221327474381
27,4.430722501521266
28,3.465163228648203
29,4.017739131130626
30,3.738454761427584
31,3.4819713534859855
32,3.754758653877568
33,4.616724194646587
34,4.126380363722411
35,3.6547429128977855
36,4.907960653224331
37,3.8633580402269248
38,3.0021668793769756
39,3.5061804322458903
40,3.2448278649268083
41,3.6791728586639945
42,2.922497916849832
43,2.8208807751932485
44,3.2490222073811417
45,2.6875966687930952
46,3.09553819273598
47,3.043948258512635
48,2.515233037053194
49,3.0213940787223983
50,2.2509494438237097
51,3.022361539699064
52,3.0337962501253246
53,2.508439234826824
54,2.7711095227695695
64,2.1814089529159797
128,1.2764537848851232
256,0.9523408787834147
