,0
1,14.473537687519363
2,11.762013269964559
3,8.978312066706167
4,6.769117667974132
5,5.544937330409151
6,3.6518737982509744
7,2.336703351345697
8,1.0115749353187682
9,1.458873931411937
10,0.9164628529131561
11,0.6923787606001762
12,1.0639632151691698
13,0.2863640238977188
14,0.2174721019299403
15,0.21118662975914687
16,0.1839049700025346
17,0.21405322363112697
18,0.15173967471296212
19,0.19948398702419967
20,0.13967132660034257
21,0.152360534355708
22,0.07283693926710265
23,0.20245178246082884
24,0.07350267384412948
25,0.15719011566340174
26,0.14147798646897294
27,0.09031061181175087
28,0.07718090652341239
32,0.08533278493475914
64,0.06460482643568424
128,0.05945876195845046
256,0.025194985984061186
