,0
1,1.4418024557104934e-06
2,1.2295237018909389e-05
3,0.00020414689322053822
4,0.00038265170083363014
5,0.0028546218096167134
6,0.003854849402397605
7,0.05319577504898019
8,0.20462776463104948
9,0.18028415964542854
10,0.20684616227719713
11,0.22447667836609161
12,0.18430008672353076
13,0.26461429411207454
14,0.21046126020301228
15,0.2710463513569616
16,0.26973375220896073
17,0.2690543372655982
18,0.2627965626317678
19,0.26752539502119366
20,0.2670063644960947
21,0.26907646008721775
22,0.27110252595410433
23,0.2683189929936443
24,0.2701944902117582
25,0.2692954176039363
26,0.26682934979821704
27,0.26708719753322624
28,0.26849231353914477
29,0.270562705708902
30,0.2653020674510488
31,0.26957537074498267
32,0.2685845135083457
64,0.2706132273739735
128,0.2691167247294385
256,0.27091615682627773
