,0
1,14.520292282832937
2,11.745656695273526
3,9.146409078693658
4,7.812581653922739
5,5.623916797088851
6,4.8309304644557045
7,2.423540714151285
8,1.1153726209386372
9,1.4243571650544296
10,1.059687374455398
11,0.7864240594514419
12,1.0289823098649307
13,0.2995968158179179
14,0.9329292100589642
15,0.20498208135679993
16,0.21759163542956558
17,0.22343118080492055
18,0.2607408201473362
19,0.23238063385551375
20,0.2487817892079772
21,0.19143335920973373
22,0.14900279690064566
23,0.18690640989221974
24,0.1281170284418116
25,0.16775752268317268
26,0.13107086891577424
27,0.22205244718714168
28,0.22738849982962953
29,0.1271790833471519
30,0.14660757847077077
31,0.08795699204627608
32,0.12091945548862679
64,0.08147411520993607
128,0.0755713622601207
256,0.022778534708373807
